Problem type,Algorithm,Dimension,Iterations,Residue,Abs. error
Hilbert,Gauss,41,1,6.361296978408498e-15,433.94073208013566
Hilbert,Seidel,41,10000,7.358639449450729e-07,0.1064861007127498
Hilbert,Gauss,42,1,2.429765638691145e-14,576.1514674482738
Hilbert,Seidel,42,10000,8.377119075289787e-07,0.1074544074691107
Hilbert,Gauss,43,1,5.513405993307923e-14,1437.0780981885712
Hilbert,Seidel,43,10000,9.449598763372169e-07,0.10797278893206601
Hilbert,Gauss,44,1,6.584099933341186e-15,230.54741841430692
Hilbert,Seidel,44,10000,1.0533631480584174e-06,0.1080866144281738
Hilbert,Gauss,45,1,1.5423711185402538e-15,146.71348164653926
Hilbert,Seidel,45,10000,1.1602025444503406e-06,0.10784645387473847
Hilbert,Gauss,46,1,1.456043846448818e-14,388.84350090374096
Hilbert,Seidel,46,10000,1.2637059115148038e-06,0.1073069379107059
Hilbert,Gauss,47,1,5.2397234118323067e-14,1505.8763344336844
Hilbert,Seidel,47,10000,1.362685308742516e-06,0.10652587792925139
Hilbert,Gauss,48,1,5.854781936347568e-15,220.64630214297011
Hilbert,Seidel,48,10000,1.4563163639691333e-06,0.1055635235871427
Hilbert,Gauss,49,1,1.4041139431934737e-14,1006.9693729142775
Hilbert,Seidel,49,10000,1.5440041430584866e-06,0.10448184770124784
Hilbert,Gauss,50,1,1.3662060084272717e-14,606.3335357778243
Hilbert,Seidel,50,10000,1.6253013390527092e-06,0.10334376276623157
DiagDominant,Gauss,3,1,1.2560739669470201e-15,1.5700924586837752e-16
DiagDominant,Jacobi,3,30,3.262865510837056e-10,1.0167240705951996e-10
DiagDominant,Seidel,3,13,4.277245770589573e-11,1.2643481235462995e-11
DiagDominant,Gauss,4,1,1.7763568394002505e-15,3.1401849173675503e-16
DiagDominant,Jacobi,4,51,9.365510862462847e-10,3.1452157082391664e-10
DiagDominant,Seidel,4,23,4.77218936068421e-10,8.107856311653215e-11
DiagDominant,Gauss,5,1,7.944109290391274e-15,7.850462293418876e-16
DiagDominant,Jacobi,5,34,4.567451534641153e-10,2.616172816086917e-11
DiagDominant,Seidel,5,21,1.7625310995619418e-10,1.3439533331951817e-11
DiagDominant,Gauss,6,1,9.230220894641107e-15,4.440892098500626e-16
DiagDominant,Jacobi,6,37,1.368253310496192e-09,5.510381522239042e-11
DiagDominant,Seidel,6,18,7.982662249990245e-11,6.86039714204344e-12
DiagDominant,Gauss,7,1,3.66205343881779e-15,6.568167990716596e-16
DiagDominant,Jacobi,7,25,4.5097190579321653e-10,3.895429174917389e-11
DiagDominant,Seidel,7,13,3.526556709978034e-11,1.6428501451214502e-12
DiagDominant,Gauss,8,1,8.611209269944328e-15,5.087681048627601e-16
DiagDominant,Jacobi,8,32,8.617850716172125e-10,4.757545637243712e-11
DiagDominant,Seidel,8,15,1.0092677156684869e-10,6.076289235131037e-12
DiagDominant,Gauss,9,1,1.7763568394002505e-14,6.933340566559918e-16
DiagDominant,Jacobi,9,24,5.668439534342814e-10,2.1579003557463986e-11
DiagDominant,Seidel,9,14,3.4400588251688167e-10,1.352870629269564e-11
DiagDominant,Gauss,10,1,1.3053503572900977e-14,8.3820000221454525e-16
DiagDominant,Jacobi,10,22,8.141665630601383e-10,4.082446346978216e-11
DiagDominant,Seidel,10,14,1.5286206712831558e-10,6.296259369237199e-12
DiagDominant,Gauss,11,1,2.161031364628563e-14,7.364386412590295e-16
DiagDominant,Jacobi,11,24,1.5887885544431823e-09,5.7515149463276697e-11
DiagDominant,Seidel,11,14,3.726826316685263e-10,1.2208331757070159e-11
DiagDominant,Gauss,12,1,2.1900397950137233e-14,1.1102230246251565e-15
DiagDominant,Jacobi,12,24,9.070259486389749e-10,3.037721139449595e-11
DiagDominant,Seidel,12,17,2.441701246176905e-10,8.393896331814723e-12
DiagDominant,Gauss,13,1,2.4420869033412487e-14,1.0532500405730103e-15
DiagDominant,Jacobi,13,22,1.0058023538768267e-09,3.180443904205105e-11
DiagDominant,Seidel,13,14,1.8908547575799132e-10,5.675548945091972e-12
DiagDominant,Gauss,14,1,2.8254685205885128e-14,7.611305586242616e-16
DiagDominant,Jacobi,14,22,8.302392649971528e-10,2.0929301479334543e-11
DiagDominant,Seidel,14,13,3.472858779733312e-10,9.711978603484144e-12
DiagDominant,Gauss,15,1,4.5635433489597437e-14,1.4475537224895361e-15
DiagDominant,Jacobi,15,21,9.094005756029408e-10,3.223668777462531e-11
DiagDominant,Seidel,15,14,6.853008367599302e-11,1.8884540116875026e-12
DiagDominant,Gauss,16,1,4.1163979696024694e-14,1.1267533089989422e-15
DiagDominant,Jacobi,16,19,1.0399160406438319e-09,2.2039344075767936e-11
DiagDominant,Seidel,16,13,1.972294114264791e-10,4.079198714966298e-12
DiagDominant,Gauss,17,1,3.6404482152219934e-14,1.0114613123884174e-15
DiagDominant,Jacobi,17,21,4.917586888165168e-10,1.3906505444160382e-11
DiagDominant,Seidel,17,13,1.5613357435642418e-10,4.315463582546765e-12
DiagDominant,Gauss,18,1,6.365209823104904e-14,1.3642648929939613e-15
DiagDominant,Jacobi,18,19,7.277630660462832e-10,1.516305119390928e-11
DiagDominant,Seidel,18,13,4.169548166626609e-10,9.474836154036653e-12
DiagDominant,Gauss,19,1,6.712654832942343e-14,1.5343587468447388e-15
DiagDominant,Jacobi,19,20,8.948367903696526e-10,2.4746544179597545e-11
DiagDominant,Seidel,19,13,3.6447653793401975e-10,9.64145127219416e-12
DiagDominant,Gauss,20,1,5.923557466947594e-14,1.0053497077208614e-15
DiagDominant,Jacobi,20,22,1.956564567148991e-09,2.8721160180051583e-11
DiagDominant,Seidel,20,13,1.7227093916496796e-10,4.034894274640505e-12
DiagDominant,Gauss,21,1,7.114303597610951e-14,1.3042167484290357e-15
DiagDominant,Jacobi,21,18,2.060718477638783e-09,3.378589576481279e-11
DiagDominant,Seidel,21,14,3.8479064370438e-10,6.918403351263346e-12
DiagDominant,Gauss,22,1,5.376231353587555e-14,1.1322097734007351e-15
DiagDominant,Jacobi,22,18,2.479562810479558e-09,4.9049218613655746e-11
DiagDominant,Seidel,22,13,1.8503422623180695e-10,3.087360695253102e-12
DiagDominant,Gauss,23,1,6.99803436660041e-14,1.2362920382602608e-15
DiagDominant,Jacobi,23,19,9.553611177906317e-10,1.8847565271281725e-11
DiagDominant,Seidel,23,13,2.209871324585135e-10,3.783211566959889e-12
DiagDominant,Gauss,24,1,8.673279421411239e-14,1.5700924586837751e-15
DiagDominant,Jacobi,24,18,1.3204500258771751e-09,2.422933826927836e-11
DiagDominant,Seidel,24,12,4.458014770166667e-10,7.859790316927717e-12
DiagDominant,Gauss,25,1,8.938446871844352e-14,1.6088660122137097e-15
DiagDominant,Jacobi,25,17,5.687903769348378e-10,9.795641881047141e-12
DiagDominant,Seidel,25,13,7.049329431984519e-11,1.060142228901197e-12
DiagDominant,Gauss,26,1,1.1766939537721438e-13,1.7867348644430382e-15
DiagDominant,Jacobi,26,17,1.0879257617622894e-09,1.6715319315249295e-11
DiagDominant,Seidel,26,12,4.1561856075998563e-10,5.919775462777807e-12
DiagDominant,Gauss,27,1,1.5599609355447903e-13,2.286089127109703e-15
DiagDominant,Jacobi,27,17,6.157415029738753e-10,8.41955127297411e-12
DiagDominant,Seidel,27,12,4.772224594689617e-10,7.875951380543303e-12
DiagDominant,Gauss,28,1,1.2690699051270649e-13,2.1470691453433183e-15
DiagDominant,Jacobi,28,17,3.0001916768017142e-09,4.0512889382895894e-11
DiagDominant,Seidel,28,12,6.718374968224972e-10,8.625999444804247e-12
DiagDominant,Gauss,29,1,1.6030574802071098e-13,2.432376777795247e-15
DiagDominant,Jacobi,29,17,1.4111497754757397e-09,2.4372009288909875e-11
DiagDominant,Seidel,29,13,3.348392283952755e-10,4.463370848837999e-12
DiagDominant,Gauss,30,1,1.3159435622932943e-13,1.7019396688362377e-15
DiagDominant,Jacobi,30,18,4.487027935223282e-09,8.461198795928206e-11
DiagDominant,Seidel,30,12,9.512651311674304e-10,1.4240412776383039e-11
DiagDominant,Gauss,31,1,1.163208590337554e-13,1.6946818973100072e-15
DiagDominant,Jacobi,31,16,2.6442260990579994e-09,4.0914053706808926e-11
DiagDominant,Seidel,31,12,2.3149067473328363e-10,2.9031908656468483e-12
DiagDominant,Gauss,32,1,1.4139621912173367e-13,1.800479181327181e-15
DiagDominant,Jacobi,32,17,1.054258967550942e-09,1.2193143641151729e-11
DiagDominant,Seidel,32,12,2.284421331262677e-10,2.8154721911049076e-12
DiagDominant,Gauss,33,1,1.9626934483956593e-13,2.2644195468014703e-15
DiagDominant,Jacobi,33,16,1.5571309973253962e-09,1.758045750044674e-11
DiagDominant,Seidel,33,12,4.3113761287641147e-10,5.491261982133591e-12
DiagDominant,Gauss,34,1,2.047053767865909e-13,2.2562397986482602e-15
DiagDominant,Jacobi,34,16,1.484413145289249e-09,1.7086406841609598e-11
DiagDominant,Seidel,34,12,7.23693191161444e-10,7.992781514482462e-12
DiagDominant,Gauss,35,1,1.8212639386627382e-13,1.926164957854745e-15
DiagDominant,Jacobi,35,16,1.2305756240317871e-09,1.776167508390381e-11
DiagDominant,Seidel,35,12,1.6452781279120312e-10,2.092469880457375e-12
DiagDominant,Gauss,36,1,1.923721465954157e-13,2.24254058397701e-15
DiagDominant,Jacobi,36,16,1.0785593746249744e-09,1.2197748997472776e-11
DiagDominant,Seidel,36,12,3.894319874537101e-10,4.9732284617068426e-12
DiagDominant,Gauss,37,1,2.3046133520987916e-13,2.5438405243138005e-15
DiagDominant,Jacobi,37,16,1.2136847310519079e-09,1.324782103298528e-11
DiagDominant,Seidel,37,12,1.6305928872044493e-10,1.7757235836814714e-12
DiagDominant,Gauss,38,1,2.1598629236863564e-13,2.7149436611389984e-15
DiagDominant,Jacobi,38,16,1.448654422953844e-09,1.7275576224560992e-11
DiagDominant,Seidel,38,12,7.61345256387621e-10,8.322888292697729e-12
DiagDominant,Gauss,39,1,2.1363599072362985e-13,2.318213734067276e-15
DiagDominant,Jacobi,39,15,3.206076164802728e-09,2.8406103326719984e-11
DiagDominant,Seidel,39,11,7.378869344754811e-10,7.941615447856207e-12
DiagDominant,Gauss,40,1,1.9341907757302862e-13,1.954749347017227e-15
DiagDominant,Jacobi,40,15,2.4163193895655653e-09,2.361821595936146e-11
DiagDominant,Seidel,40,11,3.3926552411847045e-10,3.4677328237755908e-12
DiagDominant,Gauss,41,1,2.1969448246381243e-13,2.38374992562561e-15
DiagDominant,Jacobi,41,16,2.592872404659424e-09,2.1988507701293566e-11
DiagDominant,Seidel,41,11,1.4645005272051157e-09,1.432224906793191e-11
DiagDominant,Gauss,42,1,2.628047754016468e-13,2.3314683517128287e-15
DiagDominant,Jacobi,42,15,2.384912467912625e-09,2.0288124789515594e-11
DiagDominant,Seidel,42,11,6.174218120105742e-10,6.2201847965226416e-12
DiagDominant,Gauss,43,1,2.781119091932414e-13,2.6645352591003757e-15
DiagDominant,Jacobi,43,15,1.9552296967796014e-09,1.9420780469355082e-11
DiagDominant,Seidel,43,11,8.528768766771002e-10,8.089177506458279e-12
DiagDominant,Gauss,44,1,2.6471889228499147e-13,2.4145755584882908e-15
DiagDominant,Jacobi,44,15,2.317470087939819e-09,2.0374273975063595e-11
DiagDominant,Seidel,44,11,1.2869832349791806e-09,1.1197771775246474e-11
DiagDominant,Gauss,45,1,3.216334305806264e-13,2.4924445086331347e-15
DiagDominant,Jacobi,45,15,1.394262080637508e-09,1.3227988659563495e-11
DiagDominant,Seidel,45,11,4.5665895871576433e-10,4.143337837263867e-12
DiagDominant,Gauss,46,1,3.350870122901482e-13,2.7555010819726127e-15
DiagDominant,Jacobi,46,15,2.4649717981419933e-09,2.5931929256325588e-11
DiagDominant,Seidel,46,11,2.7537976173964846e-10,2.4017606010639695e-12
DiagDominant,Gauss,47,1,4.1260452522232e-13,3.040470972244059e-15
DiagDominant,Jacobi,47,15,1.322617715987955e-09,1.1602541005610385e-11
DiagDominant,Seidel,47,12,1.0914411863929606e-10,9.1939512645017e-13
DiagDominant,Gauss,48,1,3.2155493553843715e-13,2.8435583831733384e-15
DiagDominant,Jacobi,48,15,2.55989667548349e-09,1.9556985265340883e-11
DiagDominant,Seidel,48,11,3.1600656668905435e-10,2.6145462179601952e-12
DiagDominant,Gauss,49,1,3.5184423277143956e-13,2.9831756714991726e-15
DiagDominant,Jacobi,49,15,2.4524924393094967e-09,2.063805257045656e-11
DiagDominant,Seidel,49,11,4.264202939520843e-10,3.3529810680369515e-12
DiagDominant,Gauss,50,1,3.4547286364679674e-13,2.882306612438861e-15
DiagDominant,Jacobi,50,15,1.5811622720130182e-09,1.4028727859219934e-11
DiagDominant,Seidel,50,11,2.756336149675798e-10,2.3108643342705477e-12
